date,title,content,no
2022.03.01 00:00:03,생리통 심할때 가슴도 만지면 안댐 ??,,2006442
2022.03.01 00:00:11,하늘 가겟노 이러다가,ㅋㅋㅋㅋㅋㅋ,2006443
2022.03.01 00:00:28,40k에 숏진입한다,협상결렬빔으로 가버렷 ,2006445
2022.03.01 00:00:31,뭐때문에 오르냐는 애들 병신임ㅋㅋ?ㅋㅋㅋㅋ,코인 -  디지털 금전쟁나면 올라야대냐 내려야대냐긍까 개념업스니까 투기도박충이니까 꼴는거야,2006446
2022.03.01 00:00:35,지금부터 1시간봉이 근2달의 코인장을 결정한다,ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,2006447
2022.03.01 00:00:49,전쟁 끝났나보네,그렇지 않고서야 이렇게 오를리 없지,2006448
2022.03.01 00:00:54,3/1절 가보자 가보자~~, 호로말양봉 가보자~,2006449
2022.03.01 00:00:59,북한이 지금 시국에 미사일 빵빵 쏴대는 이유ㅋㅋ.jpg,핵 포기하면 어떻게 되는지 알아버렸다 ㅋㅋㅋㅋㅋㅋ한반도 다시 위기다 ㅋㅋㅋㅋㅋㅋ,2006450
2022.03.01 00:01:04,씨발 어디까지가 ,ㄷㄷ,2006451
2022.03.01 00:01:04,지금 왜 오르는거냐 ㅋㅋ,이유를 몰라서 못 사겠노 ㅋㅋ ,2006452
2022.03.01 00:01:18,무한 숏을 갈겨라,데드캣이다,2006453
2022.03.01 00:01:20,스트라이크 출발합니다.,비트 5천가즈아,2006454
2022.03.01 00:01:33,왜오르나 했더니 박호두 숏이네 ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2006456
2022.03.01 00:01:35,씹나락,ㅅㄱ,2006457
2022.03.01 00:01:58,빗썸도박장온ㅋㅋ,,2006458
2022.03.01 00:02:02,전쟁끝났냐 비트코인 존나오르네 ㅁㅊ ㅋㅋㅋ,,2006459
2022.03.01 00:02:13,번 지~~~~~~~~~~,,2006460
2022.03.01 00:02:18,고래들 우리보다 정보 빠를텐데 휴전 확정인듯?,,2006461
2022.03.01 00:02:44,박호두가 세상을구했다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,2006463
2022.03.01 00:02:50,ㅋㅋㅋㅋ머장 오르는이유 분석해봄,느금마,2006464
2022.03.01 00:03:09,바이낸스 동접자 몇 명임????,,2006465
