date,title,content,no
2022.09.12 00:04:29,펌핑핌핑업,지금시점에비트가 굳건한데알트장이 안온다? 말이안되지그전부터 잘가는 추세고민팅완판되서 이미 인정받은커넥트(KONNECT)같은거 물면크게먹는다 ㅋㅋㅋ,3362558
2022.09.12 00:05:37,룸네 간다했브럿제,ㅋㅋ,3362560
2022.09.12 00:05:45,바낸은 오르는데 업비트는 왜 그대로냐,에휴,3362561
2022.09.12 00:05:51,디카르고 어떰???,????,3362562
2022.09.12 00:06:15,진짜 업빗 개 젓같아서 ,빗썸간다 ㅋㅋ세력이 그냥 석우네 빗썸으로 해야지개 싑알 양아치것들 ㅋㅋ,3362564
2022.09.12 00:07:26,루나2 숏치는 이유가 뭐임?,전문지식답변좀,3362567
2022.09.12 00:07:28,도대체 코인 정보는 어디서 보라는거임?,
다들 호재 보고 매매해야 돈번다는데
코인 정보는 어디서 봐야될지 모르것네,3362568
2022.09.12 00:07:59,존버해라승리한다,존버하니깐 승리하더라ㅎkct 졸라 잘펌핑오네ㅋㅋ커넥트 완판해서그런가400장굿굿 다완판2장가지고있는데 푸빌라 만큼 더갈듯ㅋㅋ,3362569
2022.09.12 00:08:14,지금장이 존나돈복사장ㅋ 난이도극하 현물어케하는지, 알려준다 역프 30~50퍼코인들 보고있다가  일정펌핑후 꼬라박으면서 횡보함그때타면 그냥 해외랑 갭차이가 너무커서 자동스레펌핑 5~10퍼공짜로그냥 계속 끝도없이 퍼줌ㅋㅋㅋㅋ이미 근 3일간 80퍼정도먹어서 슬슬 미련없어서 알려준다ㅋㅋㅋㅋㅋ,3362570
2022.09.12 00:08:14,빗썸 골렘 또간다 골렘 100퍼 간다!@!!,ㄹㄴㅇㄹㄴㅇㄹㄴ,3362571
2022.09.12 00:08:21,아니 업비트 골램 모하노ㅋㅋ진짜로ㅋ,역프심하네  ,3362572
2022.09.12 00:09:05,아르고 바낸이랑 업비트 160원 차이남 ㅋㅋㅋ,-30%가 아니라 -60% 차이나는데 뭐냐 이게 ,3362575
2022.09.12 00:09:13,ㅋㅋㅋ 업비트는 진짜 개노답 ㅋㅋㅋㅋ 끝 설거지 ㅋㅋ,ㅋ케,3362576
2022.09.12 00:09:37,나랑 같이 일할사람있냐 하루만에 시드 1/10됨,내가 포지션 잡을때 반대로 하고 내가 손절할때 넌 익절하면 돈 번다내가 소액으로 너가 고액으로 ㄱ?돈은 반띤,3362577
2022.09.12 00:09:51,업비트 4일동안 진짜 뭐냐ㅋㅋㅋ이거 인짜ㅋㅋ,어이가없네ㅋ ,3362578
2022.09.12 00:10:19,역프가 뭐냐?,?,3362580
2022.09.12 00:10:35,ㅋㅋ이더리움조차 역프2퍼 ㅋㅋ,ㅋㅋㅋ,3362581
2022.09.12 00:10:46,업비트 어제보단 양호한거구만 입닥치고 돈벌어 ㅋㅋㅋ,어제는 씨발 찍어눌렀어,3362583
2022.09.12 00:10:50,쓰레기 업비트 ㅋㅋㅋ시세조종혐의 ㅎ,ㅋㅋ,3362584
2022.09.12 00:11:57,돔---------황-----------챠---------------,폭포수 흐르기 직전이다 지금이라도 안늦음 돔황챠~,3362587
2022.09.12 00:12:12,지금 코인 넣는다면 뭐에 넣을거같음??,한 3개 정도만 넣는다면 뭐 넣을거같음?,3362588
2022.09.12 00:13:51,아르고 빨리타라,,3362592
2022.09.12 00:13:53,지금 오르는거 타지마라 개물렷다..,오르는건 찔끔 찔금 오르다가 내리는건 한순간이라 손쓸틈도 없이 -찍이네 ,3362593
2022.09.12 00:14:28,루나쓰레기숏쳐놓고 자면 500퍼수익날듯,ㅇㅇ,3362594
2022.09.12 00:15:02,황썸 양봉에 반응없고 음봉에 개같이 반응하면 개추ㅋㅋ,골램 살려죠라 좀  ,3362597
2022.09.12 00:15:49,빗썸하고 업비트 아르고 50정도 차이 나는데,머지 ,3362599
2022.09.12 00:16:06,이클 100만원 간다 ,지금도 놀랄만한 저평가임,3362600
2022.09.12 00:16:54,아르고 쏜다잇 300가즈아~~,고고,3362602
2022.09.12 00:17:01,님들 바이비트 매수매도할때 수수료 대체얼마임?,한 6달러는 떼가는거같음 ,3362604
2022.09.12 00:17:08,이거 머냐ㅜ아르고,,3362605
2022.09.12 00:18:07,좀 시원하게 떨궈라,평단좀 낮추게,3362606
2022.09.12 00:19:23,아르고 역프 모ㅓ냐 ㅋㅋㅋㅋ,웃음만 나오노ㅋ ,3362610
2022.09.12 00:19:30,골렘이가겠다 아르고는 업비트자체에서 누른다 ㄹㅇ,누르는건 못감,3362612
2022.09.12 00:20:18,술취해서 집도 못알ㄹ아보눈 지잡대 인생 망했나요,지잡재 정보통신팍과 마와서 밥벌어먹기에늠 인생 조졌나요?? 빚 150뭔원에 친척형ㄹ항테 자 필렸내요 인생 쥬짐걸꺼요?? 어나면 앞으로 제대로ㅜ인생 살면 돠나요?? ,3362613
2022.09.12 00:20:58,골렘 440원에 물렸는데 본전오냐 ?? 아 시발 지금 손절할까 말까 고민,ㅠㅠ,3362615
2022.09.12 00:21:08,시팔 지금 업비트만 아르고 좆박았네 ㅡㅡ,빗썸 325 (3분만에 307->323)바낸 401~(0.28~0.30달러)업비트 이새끼 2시간동안 245에서 놀다가현재 255에서 존나 안오름 거래소 차이가 이정도나면 누가 업비트쓰노,3362616
2022.09.12 00:21:48,그냥 빗썸으로 갔다 ㅡ  업비트 개노답 ㅋㅋㅋ,ㅋ케,3362618
2022.09.12 00:22:25,거래소 어플 추천좀요 ㅠㅠ,업비트 빗썸 바이낸스 뭘로 해야되나여ㅕ??,3362619
2022.09.12 00:22:58,에브리피아 한번더쏠거같나 끝난거같냐 ? 바이낸스 ㅇㅇ,ㅈㄱㄴ,3362621
2022.09.12 00:23:46,자고일어나면 효자코인 알려준다.,폴리매쓰 ,3362623
2022.09.12 00:23:50,아르고 구조대 왔냐,조금만 더와라,3362624
2022.09.12 00:23:51,아르고 300간다,ㅇㅇ,3362625
