,date,data,result
0,2022.11.05 00:00:26,도지 시발 미쳣나 1788 ㄷㄷㄷ 한번에 끌어올리네,도지 끌
1,2022.11.05 00:00:39,5종목만 봐라) 리플 - 이클 - 누사이퍼 - 스테픈 - 도지 리플 - 이클 - 누사이퍼 - 스테픈 - 도지,종목 리플 이클 누사이퍼 스테픈 도지 리플 이클 누사이퍼 스테픈 도지
2,2022.11.05 00:01:09,와 근데 이거 숏 청산 존나 당했겠네 여기까지 끌어올리는 게 시발 작전이 아니면 뭐고,청산 끌 작전
3,2022.11.05 00:01:20,형들 리플이야 도지야 언넝언넝,리플 도지
4,2022.11.05 00:01:39,진짜 도지보면 세력들은 심리의 마술사네... 공포감에 개미 떨구고... 더시 상승시키지만 개미들은 더이상 투자할 돈이 없거나 묶여있거나... 또한 너무 오른거 같아 쉽게 잡지 못함 ,진짜 도지 세력 심리 마술사 공포감 개미 떨 더시 상승 시키 개미 투자 너무 못
5,2022.11.05 00:02:04,도지 같은데? 180넘으면 끝 도지 ,도지 도지
6,2022.11.05 00:02:06,아파트나 살란다~ 공포에사버리기~ 껄,아파트 란다 공포 버리
7,2022.11.05 00:02:11,도지178에 주웠는데 존나쫄리네 쫄린다 쫄려..,도지 린다
8,2022.11.05 00:02:23,대폭등 안나오?노??? 100프로짜리 기대중 ,대폭 나오 프로 짜리 기대
9,2022.11.05 00:02:42,Btc 마지막 설거지 픽 펑션엑스,마지막 설거지 펑션 엑스
10,2022.11.05 00:03:13,도시 ㅅ발 ㅋㅋㅋㅋㅋ 눈물 머금고 손절쳤는데 한잔하고 오니깐 개떡상해있노;;,도시 눈물 머금 손절 한잔 개떡
11,2022.11.05 00:03:17,이렇게 다 오르는 장이 어딨노 이기ㅡ...... 어제오늘 이틀 동안 계속 오르기만 하잖아... 거의 다 오르고,오르 어제 오늘 이틀 계속 오르 오르
12,2022.11.05 00:03:28,도지사라 리플은0.5딸라 저항이다 못올라감 도지가 200까진 무리없이 갈듯하다리플은 지금 저항라인이라 소송끝날때까졍 횡보친다 여기서,도지사 리플 딸라 저항 도지 무리 없이 리플 지금 저항라 소송 횡보
13,2022.11.05 00:03:42,지금 머스크 개같이 욕먹어 열받음. 언론개혁 하려니 기득권들이 똘똘뭉쳐 광고 끊고 가짜뉴스로 공격함. 트위터 유료서비스 한다고 개같이 물어뜨기는 중 ,지금 머스크 욕먹 열받 언론 개혁 기득 똘똘 광고 가짜 뉴스 공격 트위터 유료 서비스
