,date,data,result
0,2022.11.30 00:00:24,빅쇼트다 튀어 ㅌㅌ,쇼트 ㅌㅌ
1,2022.11.30 00:02:09,얘 존나 잘내리네 ,내리
2,2022.11.30 00:06:30,오늘 파월형 컨디션 어떨것같아 컨디션 안좋아서 잠깐 정신잃고 이번연말 줫댄겁니다 하려나여러분 좀 너무 목졸랐었죠?ㅎㅎ 이러려나 ㅋㅋㅋ,오늘 파월 컨디션 어떨 컨디션 아서 정신 연말 줫댄겁니다 려나 너무 졸랐 ㅎㅎ 이러 려나
3,2022.11.30 00:07:00,“위믹스 가처분 인용 가능성 커” ,위믹스 가처분 인용 가능
4,2022.11.30 00:07:15,몇일째 횡보에 지루하고눈만아프다 개추 ㅋㅋ ㅋㅋㅋ ,몇일 횡보 지루 아프 개추
5,2022.11.30 00:07:36,도지코인 140원인데 지금 사기는 늦었나요? 가상화폐에 장기투자를 하려는데 도지코인 140원에 지금 사기에는 너무 늦었나요?,도지 코인 140 인데 지금 나 가상 화폐 장기 투자 려는데 도지 코인 140 지금 사기 너무 나
6,2022.11.30 00:09:01,올해는 반등 없을듯 반등 한참 멀은듯 ,올해 한참
7,2022.11.30 00:10:05,각나왔네 스닥이 떨구는 척 하면서풀 롱이네 ㅋㅋ,나왔 떨 면서
8,2022.11.30 00:13:15,비트선물 15배격리 증거금 0~100% 중 어느정도비율로 하는것을추천하나 비트코인선물 15배 격리 매매 시 증거금 0~100% 중 어느정도 비율로 들어가는것을 추천하나요?첫 거래 시 투자금 100%로 들어가면 청산위험이 있지만 수익률이 크다는 장점이 있고 10~20%씩 들어가면 나중에 물타기 장점이 있어 안전하지만 전체수익은 전체100%로 들어갔을 때보다 적을거같아 고민이네요~~위 기준으로 매매 시 청산 안 당하면서도 최대수익률을 원할 때 증거금 몇%로 하는것을 추천하시나요?,비트 선물 격리 증거금 100 정도 비율 추천 비트코인 선물 격리 매매 증거금 100 정도 비율 들어가 추천 나 거래 자금 100 들어가 청산 위험 수익 다 장점 10 20 들어가 나중 물타기 장점 전하 전체 수익 전체 100 들어갔 보 고민 네요 ~~ 기준 매매 청산 당하 면서 최대 수익 원할 증거금 추천 나
9,2022.11.30 00:13:26,ㅋㅋ 위믹스 상폐 과정 첨부한다 ,위믹스 과정 첨부 한다
10,2022.11.30 00:14:15,본전주면 수수료주거 나올게 메프시발련 ,본전 수수료 주거 나올 프시 발련
11,2022.11.30 00:14:29,빗코때문에 인생 ㅈ망직전인 얘들아 참고해 ,인생 직전 참고
12,2022.11.30 00:15:03,머스크 애플에 저항한다고 테슬라폰 만들면 Ios나 안드로이드 같은 소프트웨어도 개발해야할텐데스타링크 쓰고 우주선까지 쏘고 자동차까지 기깔나게 맨드는 머스크가뭐가 무섭겠냐,머스크 애플 저항 한다고 테슬라 만들 Ios 안드로이드 소프트웨어 개발 해야 할 스타 링크 우주선 자동차 맨 머스크 무섭
13,2022.11.30 00:15:11,메프시발련아 쏴라좀 ㅇ ,프시 발련 쏴라
14,2022.11.30 00:17:07,여자랑 먹기 좋은 술 추천해드려영~~ ,여자 추천 드려 ~~
15,2022.11.30 00:17:15,아니 이 버러지새끼들은 아직까지 이러고 있네 야이 병신들아 코인 어차피 99.9%는 사라질텐데 뭐하고 있냐?니들이 그 틈에서 돈 벌 수 있을거 같어?이 판에 붙어 있는 한 무조건 돈 잃는다 세력 아닌 이상 ㄹㅇ로정신차려 이 병신새끼들아,버러지 아직 이러 코인 어차피 99 사라질 텐데 무조건 는다 세력 아닌 ㅇ로정신차려
16,2022.11.30 00:18:16,킁킁 역시 틀리지 않는구만떨구는 척 양전 ㅋㅋㅋ스닥이 스캠 뻔하지,킁킁 틀리 는구만 떨 양전 뻔하
17,2022.11.30 00:18:54,샌드박스. .,샌드박스
18,2022.11.30 00:19:45,비트코인 역사상 두번째로긴 하락장임 역사상 가장긴 하락장 찍을수도,비트코인 역사 하락 장임 역사 가장 하락
