date,title,content,no
2022.09.06 00:00:01,이클 1시간 전부터 3프로떨구면 팔라는사람임,6프로 먹고있음 ㅋㅋㅋㅋㅋㅋ 안떨어져 3프로 떨어지고 팔아도 3프로 먹네 얼타다가 10퍼 올라가면 따라올애들 널렸네,3335936
2022.09.06 00:00:02,내밥그릇 요까지 ㅎㅎ 이클 10퍼 잘빨았다,ㅋ,3335937
2022.09.06 00:00:12,논란의 여지 없다 누가 언제 내리냐가 관건이다,전설의 시작이다,3335938
2022.09.06 00:00:26,이클 딱보니 5만 가겠네 ㅋㅋㅋㅋㅋ,ㅇㅇ,3335939
2022.09.06 00:00:36,쎄타토큰 너도 설마 ?,ㅋㅋ,3335940
2022.09.06 00:00:49,지금 비트가 이자리 버티는 이유.,2017년에 고점이 이자리라서 박스권으로 봤을때 손익비 너무 좋은자리라 롱무새들 쭉 들어오는그런 자리라서 지켜지는거임 근데 여기 뚫린다? 그럼 그냥 바로 헬게이트 오픈 그냥 10k 다시 가야함그냥 다음번 커넥트 NFT 민팅이나 해라 이번 NFT 민팅 성공만했어도 VIP 혜택 카드 줬었는데 안한놈 많제?커넥트 NFT 듀먼 갖고만 있어도 신라면세점에서 최소4~20% 할인되고 한정판 에어드랍우선권도 받을 수 있는데 되기만하면 개꿀인데 다음 민팅은 안 하는 흑우없기를 바란다진짜..,3335941
2022.09.06 00:00:51,이클 6만 갈까??,궁굼,3335942
2022.09.06 00:01:04,이클 숏칠려다가 말았는데 좆될번 ㅋㅋ,5퍼인가 ? 10배숏칠려했는데 ㅋㅋ-50퍼될뻔 ㅋㅋㅋㅋㅋ,3335943
2022.09.06 00:01:29,흡성대법이면 그 흐름에 올라타라,거래대금 며칠간 좆빠지게없던거 이클이 다 살려냈다,3335944
2022.09.06 00:01:31,이번엔 찐찐반 느낌이네,제발 미친듯이 올라가라,3335945
2022.09.06 00:01:55,여기서 사자의 심장은 이클 내린다,내릴 거?,3335946
2022.09.06 00:01:58,이더리움 창시자가 전달한다,이클 8시까지 6마넌 내일 머지 공지 후 8.5 머지업뎃 후 15,3335947
2022.09.06 00:02:07,이클 안 산 흑우 없제? ㅋㅋ,ㅇㅇ,3335948
2022.09.06 00:02:32,이클덕에 코인 거래량 늘어나서 기분 좋으면 개추,시팔 빙하기끝나따!!,3335949
2022.09.06 00:02:32,시발 ㅋㅋㅋ 싸클 25원간다던새끼 글내린거봐라 ㅋㅋㅋㅋㅋㅋㅋㅋ,아 존나웃기네 그걸 쳐내리노 쫄보임? 안가면 안가는거지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3335950
2022.09.06 00:02:44,아까 이클 9시50분쯤인가 개쏜다 쓰던형,그글보고 걍 따라삿는데개십 이거 언제팔아?10프로수익인데..계속 눈팅하니 개피곤해서 그냥잘게 낼아침에보자,3335951
2022.09.06 00:02:49,유튜브에 이클 3만 간다는 병신 잇던데?,사람 아닌 거 맞지?,3335952
2022.09.06 00:03:11,이클 차트보니 마음이 푸근해진다,이클 개떡상 가즈ㅏ,3335953
2022.09.06 00:03:13,이클 곧 떡락! 갈아타거나 숏전환!,이빠이 챙겨먹자. 축제다!,3335954
2022.09.06 00:03:14,[속보] 박호두 숏,19.8k에서숏잡고 운지하는중 ,3335955
2022.09.06 00:03:53,찐반인 이유,거래량이 터지면서 오른다.,3335956
2022.09.06 00:04:53,이시발 이클 9% 5만원 눈앞에 보인다,이런 날이 오네,3335958
2022.09.06 00:04:57,ㅋㅋㅋㅋ 다들 환희에 차있네 병신들이 ,ㅋㅋㅋㅋㅋㅋ개웃기네 시발 이게 도박에 미친놈들인가,3335959
2022.09.06 00:05:32,숏전환 안했으면..아쉽지만 함께하실수 없습니다.,뒤지십시오ㅋ,3335961
2022.09.06 00:05:55,2022년 마지막 설거지 ,개미들 잔뜩태우거 이번주 주말에 추석 폭포수빔 쏘면서 나락갈예정 ㅅㄱ,3335962
2022.09.06 00:07:04,숏자리 개꿀이네ㅋㅋㅋㅋㅋㅋ,지금안타는 흑우없지? ,3335964
2022.09.06 00:07:15,고생했다 얘들아..ㅜㅜ,찐반이다내일 쯤 22k 가볍게 가 있을 듯..... 수고했다.,3335966
2022.09.06 00:07:23,엑시 팔지마라 게이야,엑시 돌아온다,3335967
2022.09.06 00:07:24,이클 개쏜다 ㅋㅋㅋㅋㅋㅋ,,3335968
2022.09.06 00:07:48,이클 샀다,,3335969
2022.09.06 00:09:57,내일은 나스닥도 개쏠거같노 ㄹㅇ,더이상의 악재는 없다유로금리인지씨발 지랄좀하지마라그래라,3335970
2022.09.06 00:10:09,이시각 젤 불쌍한 새끼 아직도 이클 의심함,죽기전에 이클 살 걸,3335971
2022.09.06 00:10:44,빗반꿀은 뭐다?? 과학이다 ㅋㅋ아침에 다들 죽겠군,ㅋㅋㅋㅋㅋ무한곡소리 나올예정,3335972
2022.09.06 00:11:20,이클 말아올리네,면치기냐?,3335973
2022.09.06 00:11:58,오늘부터 롱인 이유 - 미국 현재 분위기 알려준다.,이번 9월 fomc bj 파월 연설 예상 나옴.금리인상 더뎌질것이라는게 미국 분위기다.파월이 금리인상 똑같이 강경하게 나와도 fomc 20~21일이니까그전까진 롱쳐도됨 ㅇㅇ,3335974
2022.09.06 00:13:04,귀 하나 더만들어지는거 끝나면 내리꽂는닼ㅋㅋ,모를면 병신마냥 잃어야지ㅋㅋ,3335975
2022.09.06 00:13:12,이시발 이클 전고 돌파 간다,우주,3335976
2022.09.06 00:13:56,이클 타고싶은데 타기싫으면 개추,후.,3335977
2022.09.06 00:14:12,이클 의심하지 말라헸제 ㅋㅋㅋㅋ,,3335978
2022.09.06 00:14:30,이클 이젠 무섭다 ,32에 30배롱 잡았는데 무서워 어디까지 가는거니  ,3335980
2022.09.06 00:14:36,이클 계속 솟구치네 머임? 우주선임?,피융피융,3335981
2022.09.06 00:15:29,이클 작년 5월에,며칠만에 5만에서 20만 갔었냐?,3335982
2022.09.06 00:15:47,오더리움 클래식 경축 아침엔 육더리움 ,ㅅ ㅅ. ㅅ,3335983
2022.09.06 00:15:56,이새끼들아 진짜 5만원 돌파 직전이다 ,머임? 천국가나?,3335984
2022.09.06 00:16:43,중국 비트코인 합법화 서명,이왜진? ,3335985
2022.09.06 00:16:46,병신들인가 숏쳤겠냐? 털리라고 뻥카치는중이잖아.,,3335986
2022.09.06 00:16:58,ㅋㅋㅋ작년얘기 나오는거 보니 ㅋㅋㅋ끝낫다,병신들 ㅋㅋㅋ작년 이클 얘기까지 나오네,3335987
2022.09.06 00:17:00,니들은 박호두가 숏인데 숏쳐잡고있냐 ㅋㅋㅋㅋ,박호두숏인데 숏잡은 애들은  에라이 코인접어라ㅋㅋㅋㅋㅋㅋ ,3335988
2022.09.06 00:17:23,[속보] 19.9k 돌파 ㅋㅋㅋㅋ,20k 뚫을시 숏충이들 대가리로 빌딩세울예정 ,3335991
2022.09.06 00:17:26,<속보>이더리움클래식 북한 기축통화 검토중…논란 붉혀져.,ㅋㅋㅋ 대박이네 ㅋㅋㅋ뻘갱놈덜도 아는거네,3335992
2022.09.06 00:17:30,이클 승리의 5만원 ㅋㅋㅋ,쇽충이개박살,3335993
2022.09.06 00:17:31,야들아 이클 패턴 찾았다 ㄹㅇ ,비소리가 격해지면 상승한다 내가 계속 리듬타고있었는데 격해질때마다 파격상승 나온다 이건 찐이야 (이클 수익 야미),3335994
2022.09.06 00:17:32,나스닥 선물은 왜 오르냐...,유로스톡 마이너스이고 호재가 하나도 없는데 나선이 오르고 그러니깐 비트코인도 따라 오르는것 같은데 숏으로 물을 더 타야하나... 손절 해야하나... 고민이네  ,3335995
2022.09.06 00:17:35,애한테 생리하냐고 물어본게 잘못임?,,3335996
2022.09.06 00:17:47,숏친애들 아이큐 수준,박호두랑 동급,3335998
2022.09.06 00:18:20,20k 아래에서 숏 잡은 병신이 있다고?,에이 설마 어떤 병신이 그러겠어ㅋㅋㅋㅋ,3336000
2022.09.06 00:18:27,<속보>이더리움클래식 북한의 기축통화로 사용할것.,미친넘ㄷㄹㅋㅋㅋㅋ,3336002
2022.09.06 00:18:33,웨이브 호재 미쳤다,가즈아,3336003
2022.09.06 00:18:52,갓더리움 황래식...,왕의 귀환..,3336004
2022.09.06 00:18:59,9월이 왓다 이클의 계절,축하한다 이젠,3336005
2022.09.06 00:19:01,ㅋㅋㅋㅋㅋ 이클은 믿는자만 데꼬가신다,,3336006
2022.09.06 00:19:12,이클숏치라는새기들죽여ㅆ,개ㅆ,3336007
2022.09.06 00:19:14,숏충이들 곡소리가 여기까지 들린다,우헤헤헤헤헤,3336008
2022.09.06 00:19:23,이클 타점어떠냐,,3336009
2022.09.06 00:19:38,오늘 숏충이들 뒤지는날~,대장 이클이 가는데 숏잡는 흑우있나?ㅋㅋㅋ,3336010
2022.09.06 00:19:42,오늘 100퍼빔 하나 나오겠네,누군진 알지?,3336011
2022.09.06 00:19:42,이클 날아가네... 진짜 10만원가나 시벌 무서워서 못타긋네,ㅋㅋ,3336012
2022.09.06 00:19:55,난 우리 엑시 믿어.. 이클따라갈거라 믿어..,ㅜㅜ,3336013
2022.09.06 00:20:12,하.. 왜 오르나 했더니 호두 숏쳤네...,어쩐지 오른다 했더니 아오...  호두형 빨리 팔아...  ,3336014
2022.09.06 00:20:12,코인계의 wwe 숀마이클스,https://youtube.com/clip/Ugkxcd6ZG1lBCTJBwnP4d7omPkLVBbH8M3dz,3336015
2022.09.06 00:20:15,●●●●●●어김없이오늘도등장하는형이다●●●●,달달하다 역시 메로나지 숏충이들 다어디갔니차트보고 손절라인 그림그리고있나,3336016
2022.09.06 00:20:17,미쳣네 이클 14% 12% 업비트 기준 압도적 1위,2위 5%,3336017
2022.09.06 00:20:24,산도깨비 저 친구가 몸만 안 팔았어도 참 좋은 친구였을텐데..,,3336018
2022.09.06 00:20:37,이제 진짜 이클 숏이다!,가즈아!,3336019
2022.09.06 00:20:54,ㅡㅡㅡㅡㅡㅡㅡㅡ숏충이 박멸빔ㅡㅡㅡㅡㅡㅡㅡㅡ,ㅅㄱ ,3336021
2022.09.06 00:21:26,이클숏 2억달러 청산 ㅋㅋㅋ,,3336022
2022.09.06 00:21:36,곧 20k 돌파.,22k 까지는 뒤도 안 돌아보고 간다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3336023
2022.09.06 00:21:40,이클 원화도 13%돌파,Btc와 합체,3336024
2022.09.06 00:22:23,이클 숏 외치던 찐팬치 잠수타다,지 유리할때만 맞춘척 아가리터는 리딩방 방장이랑 다를거없는놈ㅎㅇ ,3336025
2022.09.06 00:22:36,아 이클 46140타서 46280내렷는데,뭔 50400이냐 ㅋㅋㅋㅋㅋㅋ,3336026
2022.09.06 00:22:43,숏 스쿼트 가자 ㅋㅋ,ㅋㅋㅋㅋㅋ,3336029
2022.09.06 00:22:57,근데 오입금 돈쓰면 감옥은 가도 회수는 못하지 않냐?,,3336030
2022.09.06 00:23:04,악재 순식간에 해소되고 대불장 시작ㅋㅋㅋㅋㅋ,ㄹㅇ한방이네 ㅋㅋ,3336031
2022.09.06 00:23:07,유튜버중에 이클 끝났다고 경상도 사투리 쓰는 놈 있었는데,누구냐,3336032
2022.09.06 00:23:10,한남노빔이냐 ㅋㅋ,ㅋㅋㅋㅋㅋ,3336033
2022.09.06 00:23:17,숏 달달. 우리턴이야ㅋㅋ,물릴 준비 됐니?ㅋㅋ,3336034
2022.09.06 00:23:18,지금 글 안쓰는 새끼 특,이클 사려고 돈 꾸는 즁,3336035
2022.09.06 00:23:55,나 이더리움 창시자가 전한다,금일 8시까지 6만 18시 머지 공지 8.5 머지 업뎃 후 15만,3336036
2022.09.06 00:24:16,박호두 이클숏인것만 알아둬라 ㅋㅋ,-21퍼다 현재,3336037
2022.09.06 00:24:34,야 이클 왜 쏘는거냐,호재있냐,3336039
2022.09.06 00:24:41,엑시 20135인데 평단 이거 약손절해야하냐? 진지하게?,ㅇㅇㅇㅇ,3336040
2022.09.06 00:24:42,진짜 고수는 크로노스 탄다 ,난 말했다,3336041
2022.09.06 00:25:26,이클 숏이라던 찐팬치 쥐도 새도 모르게 잠수ㅇㅇ,등판해서 70억 드립칠 예정 니가 70억이면 틀린것도 맞는게되노 ,3336042
2022.09.06 00:25:32,ㅋㅋ 4.7로 간다 숏 달달,가즈아,3336043
2022.09.06 00:25:39,와 이더리움 2억매수 ㄷ ,머냐,3336044
2022.09.06 00:25:42,어어 쟤 왜 저러노?,ㅇㅇ,3336045
2022.09.06 00:25:44,이클 운지 웃음벨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3336046
2022.09.06 00:25:57,이클 숏 개달달하닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3336047
2022.09.06 00:26:38,호두보다 내 숏 평단이 더 낮네...ㅋㅋㅋ,코인 접어야겠다 ㅋㅋㅋ ,3336049
2022.09.06 00:27:17,중국-러시아 EAEU 체결,. ,3336050
2022.09.06 00:27:42,4만7천에서 짧게 롱전환 4.9에서 숏치면 내일 차바꿈,ㅋㅋ인생 굳,3336051
2022.09.06 00:28:27,이클 빨리타라 5만1천까지는 열려있다,,3336052
2022.09.06 00:29:26,이클을 머장으로,븅싱 좆밥 틀딱 비트새끼 ,3336055
2022.09.06 00:29:42,루클숏 이거 탈출됨?,,3336056
2022.09.06 00:31:06,업비 이클 자전거래,수수료 먹을려고 자전 거래 돌리는중다시 원위치간다적당히먹고 빠져라,3336057
2022.09.06 00:33:59,okx인가 여기 믿을만한곳인가요..?,쓰시는분 계신가요..?,3336060
2022.09.06 00:35:25,아이콘 빵디흔드노 저거,ㅋㅋ,3336061
2022.09.06 00:35:48,와 꼬시는거봐. 얼마나 쳐내리려고. 빨리가자 4만7천ㅋㅋ,얼른ㅋㅋ,3336062
2022.09.06 00:35:55,이 시발련들아,무서워서 못 타겠자나 개시발,3336063
2022.09.06 00:36:24,이더리움 사놔라,이더리움 머지 반대 세력이 이더리움 pow 하드포크하면 이더리움 클래식같은 가짜 이더리움 하나 더 생긴다 pos이더 pow이더 이클 이렇게 3개됨 반대세력이 하드포크 성공해서 pow이더 생기면 바로 꽁돈인거 ,3336064
2022.09.06 00:37:49,이클 숏쳤다,가자~~~,3336066
