,date,data,result
0,2022.01.22 00:00:29,이제 알트코인 매매 잘하려면... 비트코인 눈치 봐야하고그리고 그 비트코인이 눈치보는 나스닥도 봐야함가끔식 BJ옐런  파월등등도 봐야함에이 시발 ,이제 알트 코인 매매 비트코인 눈치 비트코인 눈 나스닥 가끔 옐런 파월
1,2022.01.22 00:00:30,코스모스 든놈들은 진득하게 기다려라 아직 박스권임 ,코스모스 진득 아직 박스
2,2022.01.22 00:00:46,시드 1억에 마이너스 22면 아직 죽으면 안되지? 쿠쿠쿠 ,시드 마이너스 아직 쿠쿠
3,2022.01.22 00:00:48,아 시팔 퇴근하고오니까 청산당해있네 개씨팔 ,퇴근 청산
4,2022.01.22 00:00:49,네스트리도 경주마 나능성 있다! 내 느낌에 ,네스트 리도 경주마 능성 느낌
5,2022.01.22 00:01:05,나ㅡㅡ스ㅡㅡ닥ㅡㅡ개ㅡㅡ씹ㅡㅡ죶ㅡㅡ운ㅡㅡ지   ,
6,2022.01.22 00:01:06,비트코인은진짜 아무리생각해도 거래소 놀이터다 걍 시발 천번만번생각해도  각각 거래소 놀이터 그이상 그이하도아니다 뭐? 희소성?개좆까는소리 팩트  ,비트코인 진짜 아무리 생각 거래소 놀이 터다 생각 거래소 놀이터 이하 희소성 좆 소리
7,2022.01.22 00:01:21,노무현 드간다잉 드간다 ,노무현 드간
8,2022.01.22 00:01:25,12월 4일 때 하따로 20퍼 먹고 그 뒤로 조금씩 잃다가 결국 본전 옴 잃어버린 내 2개월 ㅅㅂ ,따로 본전
9,2022.01.22 00:01:29,내가 저배로 롱 갈아탄 이유 수일동안 내리꽂기만함.  그것도 반등 없이 말그대로 내리 꽂음개나소나 다 숏잡음.  고배 다수 포함 하다못해 옆집 아줌마도 숏잡은 상태다음주까지 계속 떨어지기만 한다?? 그건 말이 안됨그럼 반등을 한두번은 줄껀데 그게 언제가 될까나스닥이 쉬는 이번주  곧 오늘임 ,저배 이유 수일 내리꽂 없이 그대로 내리 소나 잡음 고배 포함 못 옆집 아줌마 상태 계속 떨어지 나스닥 오늘
10,2022.01.22 00:01:55,나스닥 씹 죶 운지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,나스닥 운지
11,2022.01.22 00:01:56,운지  ,운지
12,2022.01.22 00:01:58,롱청산 비율 존나 낮은거보니 하락초입이다ㅋㅋㅋ 풀숏40배  ,청산 비율 하락 초입
13,2022.01.22 00:02:14,나스닥 14000도 붕괴하면 진짜 대곰탕이다   ,나스닥 붕괴 진짜 곰탕
14,2022.01.22 00:02:21,나스닥 개흐르노ㅋㅋㅋ 머장 4천 깨지겠노 ㅋㅋㅋ  ,나스닥 흐르 깨
15,2022.01.22 00:02:26,우.유.빛.깔.노.무.현 드가자 ,드가
16,2022.01.22 00:02:31,비트코인 1월31일 가격 3400만원 찍혀있을거같다..씨발 ,비트코인 가격
17,2022.01.22 00:02:33,써틱 가는데 안산 흑우 있냐 ㅋㅋㅋ ㅋㅋ ,흑우
18,2022.01.22 00:02:48,난 자련다 어차피 관망충인데 그냥 편하게 꿀잠잔다 ㅃ ,자련 어차피 망충 그냥 편하 꿀잠
