,date,data,result
0,2022.09.06 00:00:01,이클 1시간 전부터 3프로떨구면 팔라는사람임 6프로 먹고있음 ㅋㅋㅋㅋㅋㅋ 안떨어져 3프로 떨어지고 팔아도 3프로 먹네 얼타다가 10퍼 올라가면 따라올애들 널렸네,이클 프로 떨 라는 사람 프로 떨어져 프로 떨어지 아도 프로 다가 10 올라가 따라올 널렸
1,2022.09.06 00:00:02,내밥그릇 요까지 ㅎㅎ 이클 10퍼 잘빨았다 ㅋ,밥그릇 ㅎㅎ 이클 10
2,2022.09.06 00:00:12,논란의 여지 없다 누가 언제 내리냐가 관건이다 전설의 시작이다,논란 내리 관건 전설 시작
3,2022.09.06 00:00:26,이클 딱보니 5만 가겠네 ㅋㅋㅋㅋㅋ ㅇㅇ,이클 ㅇㅇ
4,2022.09.06 00:00:36,쎄타토큰 너도 설마 ? ㅋㅋ,타토
5,2022.09.06 00:00:49,지금 비트가 이자리 버티는 이유. 2017년에 고점이 이자리라서 박스권으로 봤을때 손익비 너무 좋은자리라 롱무새들 쭉 들어오는그런 자리라서 지켜지는거임 근데 여기 뚫린다? 그럼 그냥 바로 헬게이트 오픈 그냥 10k 다시 가야함그냥 다음번 커넥트 NFT 민팅이나 해라 이번 NFT 민팅 성공만했어도 VIP 혜택 카드 줬었는데 안한놈 많제?커넥트 NFT 듀먼 갖고만 있어도 신라면세점에서 최소4~20% 할인되고 한정판 에어드랍우선권도 받을 수 있는데 되기만하면 개꿀인데 다음 민팅은 안 하는 흑우없기를 바란다진짜..,지금 비트 자리 버티 이유 2017 고점 자리 라서 박스 익비 너무 자리 들어오 자리 라서 지켜 뚫린다 그냥 게이트 오픈 그냥 10 그냥 커넥트 NFT 이나 해라 NFT 성공 했어도 VIP 혜택 카드 줬었 커넥트 NFT 신라 면세점 최소 20 할인 한정판 에어드 우선권 개꿀 인데 흑우 바란다 진짜
6,2022.09.06 00:00:51,이클 6만 갈까?? 궁굼,이클 갈까 궁굼
7,2022.09.06 00:01:04,이클 숏칠려다가 말았는데 좆될번 ㅋㅋ 5퍼인가 ? 10배숏칠려했는데 ㅋㅋ-50퍼될뻔 ㅋㅋㅋㅋㅋ,이클 칠려다가 인가 10
8,2022.09.06 00:01:29,흡성대법이면 그 흐름에 올라타라 거래대금 며칠간 좆빠지게없던거 이클이 다 살려냈다,성대 흐름 올라타 거래 대금 며칠 빠 이클 살려냈
9,2022.09.06 00:01:31,이번엔 찐찐반 느낌이네 제발 미친듯이 올라가라,느낌 제발 미친 올라가
